term,label,definition,exact_synonym
http://purl.obolibrary.org/obo/ECAO_0100350,echinoderm anatomy,Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.,
http://purl.obolibrary.org/obo/ECAO_0100351,anatomical structure,Material anatomical entity that has inherent 3D shape and is generated by coordinated expression of the organism's own genome,
http://purl.obolibrary.org/obo/ECAO_0100352,anatomical system,"A system that has as its parts distinct anatomical structures interconnected by anatomical structures at a lower level of granularity. Multicellular, connected anatomical structure that has multiple organs as parts and whose parts work together to achieve some shared function","organ system, connected anatomical system, body system"
http://purl.obolibrary.org/obo/ECAO_0100353,whole organism,Anatomical structure that is an individual member of a species and consists of one cell or more,
http://purl.obolibrary.org/obo/ECAO_0100354,anatomical region,A region of the whole organism without well-defined compartmental boundaries,organism subdivision
http://purl.obolibrary.org/obo/ECAO_0100355,anatomical space,,
http://purl.obolibrary.org/obo/ECAO_0100356,embryo,"Anatomical entity that comprises the animal in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems",
http://purl.obolibrary.org/obo/ECAO_0100357,larva,,
http://purl.obolibrary.org/obo/ECAO_0100358,juvenile,,
http://purl.obolibrary.org/obo/ECAO_0100359,adult,,
http://purl.obolibrary.org/obo/ECAO_0100360,pre-metamorphic individual,,
http://purl.obolibrary.org/obo/ECAO_0100361,multicellular organism,Anatomical structure that is an individual member of a species and consists of more than one cell,
http://purl.obolibrary.org/obo/ECAO_0100362,digestive system,"Anatomical system that has as its parts the organs devoted to the ingestion, digestion, and assimilation of food and the discharge of residual wastes.",
http://purl.obolibrary.org/obo/ECAO_0100363,embryonic digestive system,The gastrointestinal tract that is being formed during embryonic development starting with the formation of the primitive gut tube (or archenteron),
http://purl.obolibrary.org/obo/ECAO_0100364,larval digestive system,Organ system responsible for the food uptake and processing in the larva,
http://purl.obolibrary.org/obo/ECAO_0100365,adult digestive system,Anatomical system that processes ingested substances in the adult,
http://purl.obolibrary.org/obo/ECAO_0100366,immune system,,
http://purl.obolibrary.org/obo/ECAO_0100367,embryo immune system,,
http://purl.obolibrary.org/obo/ECAO_0100368,larval immune system,,
http://purl.obolibrary.org/obo/ECAO_0100369,adult immune system,,
http://purl.obolibrary.org/obo/ECAO_0100370,reproductive system,"Anatomical system that has as its parts the organs concerned with reproduction, i.e. the male and female gonads.",
http://purl.obolibrary.org/obo/ECAO_0100371,nervous system,,
http://purl.obolibrary.org/obo/ECAO_0100372,embryonic nervous system,The sum of all the structures in the embryo that will develop into the larval nervous system,
http://purl.obolibrary.org/obo/ECAO_0100373,larval nervous system,The sum of all the neural structures present in the larva,
http://purl.obolibrary.org/obo/ECAO_0100374,adult nervous system,,
http://purl.obolibrary.org/obo/ECAO_0100375,muscular system,,
http://purl.obolibrary.org/obo/ECAO_0100376,larval muscular system,,
http://purl.obolibrary.org/obo/ECAO_0100377,adult muscular system,,
http://purl.obolibrary.org/obo/ECAO_0100378,endoskeleton,"Internal support structure of an animal composed of mineralized tissue. It gives shape, support and protection to the body.",
http://purl.obolibrary.org/obo/ECAO_0100379,embryonic endoskeleton,,
http://purl.obolibrary.org/obo/ECAO_0100380,larval endoskeleton,,
http://purl.obolibrary.org/obo/ECAO_0100381,rudiment endoskeleton,,skeletal rudiment
http://purl.obolibrary.org/obo/ECAO_0100382,adult endoskeleton,,
http://purl.obolibrary.org/obo/ECAO_0100383,water vascular system,"The water vascular system is a hydraulic system used by sea urchins for locomotion, food and waste transportation, and respiration. The system is composed of canals connecting numerous tube feet. ",
http://purl.obolibrary.org/obo/ECAO_0100384,hemal system,The hemal system contains the blood. It is composed of a complex network of vessels mainly located around the gut.,haemal system
