ID URCH	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type 	URCH specific	hasNoOnto
ID URCH	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type 	URCH specific	hasNoOnto
ECAO:1000350	echinoderm anatomy						Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.		UBERON:0001062										
ECAO:1000351	anatomical structure	echinoderm anatomy					Material anatomical entity that has inherent 3D shape and is generated by coordinated expression of the organism's own genome		UBERON:0000061										
ECAO:1000352	anatomical system	echinoderm anatomy					A system that has as its parts distinct anatomical structures interconnected by anatomical structures at a lower level of granularity. Multicellular, connected anatomical structure that has multiple organs as parts and whose parts work together to achieve some shared function	organ system, connected anatomical system, body system	UBERON:0000467										
ECAO:1000353	whole organism	echinoderm anatomy					Anatomical structure that is an individual member of a species and consists of one cell or more				OBI:0100026								
ECAO:1000354	anatomical region	echinoderm anatomy					A region of the whole organism without well-defined compartmental boundaries	organism subdivision	UBERON:0000475										
ECAO:1000355	anatomical space	echinoderm anatomy							UBERON:0000464										
ECAO:1000356	embryo	multicellular organism	whole organism		1-cell stage	prism stage	Anatomical entity that comprises the animal in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems		UBERON:0000922										
ECAO:1000357	larva	multicellular organism	whole organism	embryo	early pluteus larva stage	competent pluteus larva stage			UBERON:0002548										
ECAO:1000358	juvenile	multicellular organism	whole organism	larva	late juvenile stage	exotrophic juvenile stage			UBERON:0034919										
ECAO:1000359	adult	multicellular organism	whole organism	juvenile	adult stage	adult stage			UBERON:0007023										
ECAO:1000360	pre-metamorphic individual	multicellular organism	whole organism		1-cell stage	competent pluteus larva stage												x	
ECAO:1000361	multicellular organism	whole organism			2-cell stage	adult stage	Anatomical structure that is an individual member of a species and consists of more than one cell		UBERON:0000468										
